country,countryOfficialName,region,continent,development,isSmallIslandDeveloping,isLandLockedDeveloping,nafta,eu15,eu27,Cis
Cabo Verde,Cabo Verde,Western Africa,Africa,developing,1,0,0,0,0,0
Cambodia,Cambodia,South-Eastern Asia,Asia,least developed,0,0,0,0,0,0
Cameroon,Cameroon,Middle Africa,Africa,developing,0,0,0,0,0,0
Canada,Canada,North America,Americas,developed,0,0,1,0,0,0
Cayman Islands,Cayman Islands,Caribbean,Americas,developing,0,0,0,0,0,0
Central African Republic,Central African Republic,Middle Africa,Africa,least developed,0,1,0,0,0,0
Chad,Chad,Middle Africa,Africa,least developed,0,1,0,0,0,0
Channel Islands,Channel Islands,Northern Europe,Europe,developed,0,0,0,0,0,0
Chile,Chile,South America,Americas,developing,0,0,0,0,0,0
China,China,Eastern Asia,Asia,developing,0,0,0,0,0,0
Colombia,Colombia,South America,Americas,developing,0,0,0,0,0,0
Comoros,Comoros,Eastern Africa,Africa,least developed,1,0,0,0,0,0
Congo,Congo,Middle Africa,Africa,developing,0,0,0,0,0,0
Cook Islands,Cook Islands,Polynesia,Oceania,developing,1,0,0,0,0,0
Costa Rica,Costa Rica,Central America,Americas,developing,0,0,0,0,0,0
Cote d'Ivoire,Cote d'Ivoire,Western Africa,Africa,developing,0,0,0,0,0,0
Croatia,Croatia,Southern Europe,Europe,developed,0,0,0,0,0,0
Cuba,Cuba,Caribbean,Americas,developing,1,0,0,0,0,0
Curacao,Curacao,Caribbean,Americas,developing,0,0,0,0,0,0
Cyprus,Cyprus,Western Asia,Asia,developing,0,0,0,0,1,0
Czech Republic,Czech Republic,Eastern Europe,Europe,developed,0,0,0,0,1,0
Democratic Republic of the Congo,Democratic Republic of the Congo,Middle Africa,Africa,least developed,0,0,0,0,0,0
Denmark,Denmark,Northern Europe,Europe,developed,0,0,0,1,1,0
Djibouti,Djibouti,Eastern Africa,Africa,least developed,0,0,0,0,0,0
Dominica,Dominica,Caribbean,Americas,developing,1,0,0,0,0,0
Dominican Republic,Dominican Republic,Caribbean,Americas,developing,1,0,0,0,0,0
Ecuador,Ecuador,South America,Americas,developing,0,0,0,0,0,0
Egypt,Egypt,Northern Africa,Africa,developing,0,0,0,0,0,0
El Salvador,El Salvador,Central America,Americas,developing,0,0,0,0,0,0
Equatorial Guinea,Equatorial Guinea,Middle Africa,Africa,least developed,0,0,0,0,0,0
Eritrea,Eritrea,Eastern Africa,Africa,least developed,0,0,0,0,0,0
Estonia,Estonia,Northern Europe,Europe,developed,0,0,0,0,1,0
Ethiopia,Ethiopia,Eastern Africa,Africa,least developed,0,1,0,0,0,0
Faeroe Islands,Faeroe Islands,Northern Europe,Europe,developed,0,0,0,0,0,0
Falkland Islands,Falkland Islands (Malvinas),South America,Americas,developing,0,0,0,0,0,0
Fiji,Fiji,Melanesia,Oceania,developing,1,0,0,0,0,0
Finland,Finland,Northern Europe,Europe,developed,0,0,0,1,1,0
France,France,Western Europe,Europe,developed,0,0,0,1,1,0
French Guiana,French Guiana,South America,Americas,developing,0,0,0,0,0,0
French Polynesia,French Polynesia,Polynesia,Oceania,developing,1,0,0,0,0,0
Gabon,Gabon,Middle Africa,Africa,developing,0,0,0,0,0,0
Gambia,Gambia,Western Africa,Africa,least developed,0,0,0,0,0,0
Georgia,Georgia,Western Asia,Asia,developing,0,0,0,0,0,1
Germany,Germany,Western Europe,Europe,developed,0,0,0,1,1,0
Ghana,Ghana,Western Africa,Africa,developing,0,0,0,0,0,0
Gibraltar,Gibraltar,Southern Europe,Europe,developed,0,0,0,0,0,0
Greece,Greece,Southern Europe,Europe,developed,0,0,0,1,1,0
Greenland,Greenland,North America,Americas,developed,0,0,0,0,0,0
Grenada,Grenada,Caribbean,Americas,developing,1,0,0,0,0,0
Guadeloupe,Guadeloupe,Caribbean,Americas,developing,0,0,0,0,0,0
Guam,Guam,Micronesia,Oceania,developing,1,0,0,0,0,0
Guatemala,Guatemala,Central America,Americas,developing,0,0,0,0,0,0
Guernsey,Guernsey,Northern Europe,Europe,developed,0,0,0,0,0,0
Guinea,Guinea,Western Africa,Africa,least developed,0,0,0,0,0,0
Guinea-Bissau,Guinea-Bissau,Western Africa,Africa,least developed,1,0,0,0,0,0
Guyana,Guyana,South America,Americas,developing,1,0,0,0,0,0
Haiti,Haiti,Caribbean,Americas,least developed,1,0,0,0,0,0
Holy See,Holy See,Southern Europe,Europe,developed,0,0,0,0,0,0
Honduras,Honduras,Central America,Americas,developing,0,0,0,0,0,0
Hong Kong,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,developed,0,0,0,0,0,0
Hungary,Hungary,Eastern Europe,Europe,developed,0,0,0,0,1,0
Iceland,Iceland,Northern Europe,Europe,developed,0,0,0,1,1,0
India,India,Southern Asia,Asia,developing,0,0,0,0,0,0
Indonesia,Indonesia,South-Eastern Asia,Asia,developing,0,0,0,0,0,0
Iran,Iran (Islamic Republic of),Southern Asia,Asia,developing,0,0,0,0,0,0
Iraq,Iraq,Western Asia,Asia,developing,0,0,0,0,0,0
Ireland,Ireland,Northern Europe,Europe,developed,0,0,0,1,1,0
Isle of Man,Isle of Man,Northern Europe,Europe,developed,0,0,0,0,0,0
Israel,Israel,Western Asia,Asia,developing,0,0,0,0,0,0
Italy,Italy,Southern Europe,Europe,developed,0,0,0,1,1,0
Jamaica,Jamaica,Caribbean,Americas,developing,1,0,0,0,0,0
Japan,Japan,Eastern Asia,Asia,developed,0,0,0,0,0,0
Jersey,Jersey,Northern Europe,Europe,developed,0,0,0,0,0,0
Jordan,Jordan,Western Asia,Asia,developing,0,0,0,0,0,0
Kazakhstan,Kazakhstan,Central Asia,Asia,developing,0,1,0,0,0,1
Kenya,Kenya,Eastern Africa,Africa,developing,0,0,0,0,0,0
Kiribati,Kiribati,Micronesia,Oceania,least developed,1,0,0,0,0,0
Kuwait,Kuwait,Western Asia,Asia,developing,0,0,0,0,0,0
Kyrgyzstan,Kyrgyzstan,Central Asia,Asia,developing,0,1,0,0,0,1
Aland Islands,Aland Islands,Northern Europe,Europe,developed,0,0,0,0,0,0
Laos,Lao People's Democratic Republic,South-Eastern Asia,Asia,least developed,0,1,0,0,0,0
Latvia,Latvia,Northern Europe,Europe,developed,0,0,0,0,1,0
Lebanon,Lebanon,Western Asia,Asia,developing,0,0,0,0,0,0
Lesotho,Lesotho,Southern Africa,Africa,least developed,0,1,0,0,0,0
Liberia,Liberia,Western Africa,Africa,least developed,0,0,0,0,0,0
Libya,Libya,Northern Africa,Africa,developing,0,0,0,0,0,0
Liechtenstein,Liechtenstein,Western Europe,Europe,developed,0,0,0,0,0,0
Lithuania,Lithuania,Northern Europe,Europe,developed,0,0,0,0,1,0
Luxembourg,Luxembourg,Western Europe,Europe,developed,0,0,0,1,1,0
Macau,"China, Macao Special Administrative Region",Eastern Asia,Asia,developing,0,0,0,0,0,0
Macedonia,The former Yugoslav Republic of Macedonia,Southern Europe,Europe,developed,0,1,0,0,0,0
Madagascar,Madagascar,Eastern Africa,Africa,least developed,0,0,0,0,0,0
Malawi,Malawi,Eastern Africa,Africa,least developed,0,1,0,0,0,0
Malaysia,Malaysia,South-Eastern Asia,Asia,developing,0,0,0,0,0,0
Maldives,Maldives,Southern Asia,Asia,developing,1,0,0,0,0,0
Mali,Mali,Western Africa,Africa,least developed,0,1,0,0,0,0
Malta,Malta,Southern Europe,Europe,developed,0,0,0,0,1,0
Marshall Islands,Marshall Islands,Micronesia,Oceania,developing,1,0,0,0,0,0
Martinique,Martinique,Caribbean,Americas,developing,0,0,0,0,0,0
Mauritania,Mauritania,Western Africa,Africa,least developed,0,0,0,0,0,0
Mauritius,Mauritius,Eastern Africa,Africa,developing,1,0,0,0,0,0
Mayotte,Mayotte,Eastern Africa,Africa,developing,0,0,0,0,0,0
Mexico,Mexico,North America,Americas,developing,0,0,1,0,0,0
Micronesia,Micronesia (Federated States of),Micronesia,Oceania,developing,1,0,0,0,0,0
Monaco,Monaco,Western Europe,Europe,developed,0,0,0,0,0,0
Mongolia,Mongolia,Eastern Asia,Asia,developing,0,1,0,0,0,0
Montenegro,Montenegro,Southern Europe,Europe,developed,0,0,0,0,0,0
Montserrat,Montserrat,Caribbean,Americas,developing,1,0,0,0,0,0
Morocco,Morocco,Northern Africa,Africa,developing,0,0,0,0,0,0
Mozambique,Mozambique,Eastern Africa,Africa,least developed,0,0,0,0,0,0
Myanmar,Myanmar (Burma),South-Eastern Asia,Asia,least developed,0,0,0,0,0,0
Namibia,Namibia,Southern Africa,Africa,developing,0,0,0,0,0,0
Nauru,Nauru,Micronesia,Oceania,developing,1,0,0,0,0,0
Nepal,Nepal,Southern Asia,Asia,least developed,0,1,0,0,0,0
Netherlands,Netherlands,Western Europe,Europe,developed,0,0,0,1,1,0
New Caledonia,New Caledonia,Melanesia,Oceania,developing,1,0,0,0,0,0
New Zealand,New Zealand,Australia and New Zealand,Oceania,developed,0,0,0,0,0,0
Nicaragua,Nicaragua,Central America,Americas,developing,0,0,0,0,0,0
Niger,Niger,Western Africa,Africa,least developed,0,1,0,0,0,0
Nigeria,Nigeria,Western Africa,Africa,developing,0,0,0,0,0,0
Niue,Niue,Polynesia,Oceania,developing,1,0,0,0,0,0
Norfolk Island,Norfolk Island,Australia and New Zealand,Oceania,developed,0,0,0,0,0,0
North Korea,Democratic People's Republic of Korea,Eastern Asia,Asia,developing,0,0,0,0,0,0
Northern Mariana Islands,Northern Mariana Islands,Micronesia,Oceania,developing,1,0,0,0,0,0
Norway,Norway,Northern Europe,Europe,developed,0,0,0,1,1,0
Oman,Oman,Western Asia,Asia,developing,0,0,0,0,0,0
Pakistan,Pakistan,Southern Asia,Asia,developing,0,0,0,0,0,0
Palau,Palau,Micronesia,Oceania,developing,1,0,0,0,0,0
Panama,Panama,Central America,Americas,developing,0,0,0,0,0,0
Papua New Guinea,Papua New Guinea,Melanesia,Oceania,developing,1,0,0,0,0,0
Paraguay,Paraguay,South America,Americas,developing,0,1,0,0,0,0
Peru,Peru,South America,Americas,developing,0,0,0,0,0,0
Philippines,Philippines,South-Eastern Asia,Asia,developing,0,0,0,0,0,0
Pitcairn,Pitcairn,Polynesia,Oceania,developing,0,0,0,0,0,0
Poland,Poland,Eastern Europe,Europe,developed,0,0,0,0,1,0
Portugal,Portugal,Southern Europe,Europe,developed,0,0,0,1,1,0
Puerto Rico,Puerto Rico,Caribbean,Americas,developing,1,0,0,0,0,0
Qatar,Qatar,Western Asia,Asia,developing,0,0,0,0,0,0
Moldova,Republic of Moldova,Eastern Europe,Europe,developed,0,1,0,0,0,1
Romania,Romania,Eastern Europe,Europe,developed,0,0,0,0,1,0
Russia,Russian Federation,Eastern Europe,Europe,developed,0,0,0,0,0,0
Rwanda,Rwanda,Eastern Africa,Africa,least developed,0,1,0,0,0,0
Reunion,Reunion,Eastern Africa,Africa,developing,0,0,0,0,0,0
Saint Helena,Saint Helena,Western Africa,Africa,developing,0,0,0,0,0,0
Saint Kitts and Nevis,Saint Kitts and Nevis,Caribbean,Americas,developing,1,0,0,0,0,0
Saint Lucia,Saint Lucia,Caribbean,Americas,developing,1,0,0,0,0,0
Saint Martin (French part),Saint Martin (French part),Caribbean,Americas,developing,0,0,0,0,0,0
Saint Pierre and Miquelon,Saint Pierre and Miquelon,North America,Americas,developed,0,0,0,0,0,0
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Caribbean,Americas,developing,1,0,0,0,0,0
Saint-Barth_lemy,Saint-Barth_lemy,Caribbean,Americas,developing,0,0,0,0,0,0
Samoa,Samoa,Polynesia,Oceania,developing,1,0,0,0,0,0
San Marino,San Marino,Southern Europe,Europe,developed,0,0,0,0,0,0
Sao Tome and Principe,Sao Tome and Principe,Middle Africa,Africa,least developed,1,0,0,0,0,0
Sark,Sark,Northern Europe,Europe,developed,0,0,0,0,0,0
Saudi Arabia,Saudi Arabia,Western Asia,Asia,developing,0,0,0,0,0,0
Senegal,Senegal,Western Africa,Africa,least developed,0,0,0,0,0,0
Serbia,Serbia,Southern Europe,Europe,developed,0,0,0,0,0,0
Seychelles,Seychelles,Eastern Africa,Africa,developing,1,0,0,0,0,0
Sierra Leone,Sierra Leone,Western Africa,Africa,least developed,0,0,0,0,0,0
Singapore,Singapore,South-Eastern Asia,Asia,developing,1,0,0,0,0,0
Sint Maarten (Dutch part),Sint Maarten (Dutch part),Caribbean,Americas,developing,0,0,0,0,0,0
Slovakia,Slovakia,Eastern Europe,Europe,developed,0,0,0,0,1,0
Slovenia,Slovenia,Southern Europe,Europe,developed,0,0,0,0,1,0
Solomon Islands,Solomon Islands,Melanesia,Oceania,least developed,1,0,0,0,0,0
Somalia,Somalia,Eastern Africa,Africa,least developed,0,0,0,0,0,0
South Africa,South Africa,Southern Africa,Africa,developing,0,0,0,0,0,0
South Korea,Republic of Korea,Eastern Asia,Asia,developed,0,0,0,0,0,0
South Sudan,South Sudan,Eastern Africa,Africa,least developed,0,1,0,0,0,0
Spain,Spain,Southern Europe,Europe,developed,0,0,0,1,1,0
Sri Lanka,Sri Lanka,Southern Asia,Asia,developing,0,0,0,0,0,0
Palestine,State of Palestine,Western Asia,Asia,developing,0,0,0,0,0,0
Sudan,Sudan,Northern Africa,Africa,least developed,0,0,0,0,0,0
Suriname,Suriname,South America,Americas,developing,1,0,0,0,0,0
Svalbard and Jan Mayen Islands,Svalbard and Jan Mayen Islands,Northern Europe,Europe,developed,0,0,0,0,0,0
Swaziland,Swaziland,Southern Africa,Africa,developing,0,1,0,0,0,0
Sweden,Sweden,Northern Europe,Europe,developed,0,0,0,1,1,0
Switzerland,Switzerland,Western Europe,Europe,developed,0,0,0,1,1,0
Syria,Syrian Arab Republic,Western Asia,Asia,developing,0,0,0,0,0,0
Tajikistan,Tajikistan,Central Asia,Asia,developing,0,1,0,0,0,1
Tanzania,United Republic of Tanzania,Eastern Africa,Africa,least developed,0,0,0,0,0,0
Thailand,Thailand,South-Eastern Asia,Asia,developing,0,0,0,0,0,0
Timor-Leste,Timor-Leste,South-Eastern Asia,Asia,least developed,1,0,0,0,0,0
Togo,Togo,Western Africa,Africa,least developed,0,0,0,0,0,0
Tokelau,Tokelau,Polynesia,Oceania,developing,0,0,0,0,0,0
Tonga,Tonga,Polynesia,Oceania,developing,1,0,0,0,0,0
Trinidad,Trinidad and Tobago,Caribbean,Americas,developing,1,0,0,0,0,0
Tunisia,Tunisia,Northern Africa,Africa,developing,0,0,0,0,0,0
Turkey,Turkey,Western Asia,Asia,developing,0,0,0,0,0,0
Turkmenistan,Turkmenistan,Central Asia,Asia,developing,0,1,0,0,0,1
Turks and Caicos Islands,Turks and Caicos Islands,Caribbean,Americas,developing,0,0,0,0,0,0
Tuvalu,Tuvalu,Polynesia,Oceania,least developed,1,0,0,0,0,0
Uganda,Uganda,Eastern Africa,Africa,least developed,0,1,0,0,0,0
Ukraine,Ukraine,Eastern Europe,Europe,developed,0,0,0,0,0,1
United Arab Emirates,United Arab Emirates,Western Asia,Asia,developing,0,0,0,0,0,0
United Kingdom,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,developed,0,0,0,1,1,0
United States,United States of America,North America,Americas,developed,0,0,1,0,0,0
United States Virgin Islands,United States Virgin Islands,Caribbean,Americas,developing,1,0,0,0,0,0
Uruguay,Uruguay,South America,Americas,developing,0,0,0,0,0,0
Uzbekistan,Uzbekistan,Central Asia,Asia,developing,0,1,0,0,0,1
Vanuatu,Vanuatu,Melanesia,Oceania,least developed,1,0,0,0,0,0
Venezuela,Venezuela (Bolivarian Republic of),South America,Americas,developing,0,0,0,0,0,0
Vietnam,Vietnam,South-Eastern Asia,Asia,developing,0,0,0,0,0,0
Wallis and Futuna Islands,Wallis and Futuna Islands,Polynesia,Oceania,developing,0,0,0,0,0,0
Western Sahara,Western Sahara,Northern Africa,Africa,developing,0,0,0,0,0,0
Yemen,Yemen,Western Asia,Asia,least developed,0,0,0,0,0,0
Zambia,Zambia,Eastern Africa,Africa,least developed,0,1,0,0,0,0
Zimbabwe,Zimbabwe,Eastern Africa,Africa,developing,0,1,0,0,0,0
Taiwan,Republic of China,Eastern Asia,Asia,developed,0,0,0,0,0,0
Ivory Coast,Ivory Coast,Western Africa,Africa,developing,0,0,0,0,0,0
